TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;Slovenia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Slovenia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Slovenia;Syria;Total;Total;Number;4;
2006;Slovenia;Syria;Total;Males;Number;2;
2006;Slovenia;Syria;Total;Females;Number;2;
2006;Slovakia;Foreign country;Total;Total;Number;25,563;
2006;Slovakia;Foreign country;Total;Males;Number;14,864;
2006;Slovakia;Foreign country;Total;Females;Number;10,699;
2006;Slovakia;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Slovakia;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Slovakia;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Slovakia;Syria;Total;Total;Number;47;
2006;Slovakia;Syria;Total;Males;Number;32;
2006;Slovakia;Syria;Total;Females;Number;15;
2006;Finland;Foreign country;Total;Total;Number;113,852;
2006;Finland;Foreign country;Total;Males;Number;57,751;
2006;Finland;Foreign country;Total;Females;Number;56,101;
2006;Finland;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Finland;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Finland;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Finland;Syria;Total;Total;Number;128;
2006;Finland;Syria;Total;Males;Number;77;
2006;Finland;Syria;Total;Females;Number;51;
2006;Sweden;Foreign country;Total;Total;Number;479,899;
2006;Sweden;Foreign country;Total;Males;Number;238,771;
2006;Sweden;Foreign country;Total;Females;Number;241,128;
2006;Sweden;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Sweden;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Sweden;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Sweden;Syria;Total;Total;Number;3.61;
2006;Sweden;Syria;Total;Males;Number;1,852;
2006;Sweden;Syria;Total;Females;Number;1,758;
2006;United Kingdom;Foreign country;Total;Total;Number;3,425,000;e
2006;United Kingdom;Foreign country;Total;Males;Number;;
2006;United Kingdom;Foreign country;Total;Females;Number;;
2006;United Kingdom;Non-EU-28 countries nor reporting country;Total;Total;Number;;
